查询书名,豆瓣标题,作者,出版社,出版日期,定价,ISBN,评分,评分人数,标签,封面URL,豆瓣URL
"存在与时间","存在与时间","[德] 马丁·海德格尔","生活·读书·新知三联书店","2014-9-1","49.00","9787108050960",9.3,2367,"","https://img9.doubanio.com/view/subject/s/public/s27988236.jpg","https://book.douban.com/subject/25939476/"
"沉思录","沉思录","[古罗马] 马可·奥勒留","中央编译出版社","2008-2","20.00","9787802115743",8.1,23889,"","https://img2.doubanio.com/view/subject/s/public/s2825021.jpg","https://book.douban.com/subject/2359003/"
"道德经","道德经","老子","中华书局","2022-12-1","30.00元","9787101151596",9.5,5005,"","https://img1.doubanio.com/view/subject/s/public/s33910769.jpg","https://book.douban.com/subject/35461183/"
"模式识别与机器学习","模式识别与机器学习","［英］克里斯托弗 · M. 毕晓普（Christopher M. Bishop）","人民邮电出版社","2025-11","198.8元","9787115681409",9.4,38,"","https://img9.doubanio.com/view/subject/s/public/s35319266.jpg","https://book.douban.com/subject/37868649/"
"强化学习","强化学习的数学原理","赵世钰","清华大学出版社","2025-4-1","108.00","9787302685678",9.8,228,"人工智能","https://img1.doubanio.com/view/subject/s/public/s35126778.jpg","https://book.douban.com/subject/37309451/"
"自然语言处理","深度学习进阶","[ 日］ 斋藤康毅","人民邮电出版社","2020-10-14","99.00元","9787115547644",9.5,465,"","https://img9.doubanio.com/view/subject/s/public/s33738306.jpg","https://book.douban.com/subject/35225413/"
"计算机视觉","动手学计算机视觉","沈为 司翀杰 杨辰 俞勇","人民邮电出版社","2025-2","89.80元","9787115635754",9.1,33,"","https://img3.doubanio.com/view/subject/s/public/s35082052.jpg","https://book.douban.com/subject/37233855/"
"万历十五年","万历十五年","[美] 黄仁宇","生活·读书·新知三联书店","1997-5","18.00元","9787108009821",9.0,217974,"","https://img9.doubanio.com/view/subject/s/public/s1800355.jpg","https://book.douban.com/subject/1041482/"
"全球通史","全球通史","[美] 斯塔夫里阿诺斯","北京大学出版社","2024-6","168.00元","9787301344897",9.3,618,"历史/世界史","https://img9.doubanio.com/view/subject/s/public/s35253785.jpg","https://book.douban.com/subject/36609039/"
"国史大纲","国史大纲","钱穆","商务印书馆","2025-8","98元","9787100240093",9.3,203,"历史/中国古代史/中国近代史/钱穆","https://img9.doubanio.com/view/subject/s/public/s35228126.jpg","https://book.douban.com/subject/36912612/"
"明朝那些事儿","明朝那些事儿","当年明月","浙江人民出版社","2011-12-1","208.60","9788721304621",9.2,36798,"","https://img1.doubanio.com/view/subject/s/public/s29399938.jpg","https://book.douban.com/subject/7163250/"
